metric,category,definition,unit,input_signals,preprocessing,implementation_type,repository_code_module,role_in_revision,key_parameters,source_function_or_package,definition_status,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Reliability_flag,retention_location,estimability_status,analysis_source,NA_reason
Mean_RRI,Time Domain,Arithmetic mean of native beat-to-beat RRI,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,representative_context_in_main,native paired beats; finite positive RRI,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,855.7,131.46,858.91,132.86,843.35,119.54,0.16,0.523,0.92,3.37,-0.45,0.167,1,0.95,-0.59,0.0066,0.19,7.11,0.0286,representative_standard_HRV_context,representative_context_in_main_full_result_in_SI,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SDNN,Time Domain,Sample standard deviation of native beat-to-beat RRI,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,representative_context_in_main,ddof=1,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,55.29,14.94,55.65,21.71,58.78,18.78,0.04,0.702,0.927,4.07,0.3,0.141,1,2.08,0.25,0.13,0.436,6.78,0.0337,representative_standard_HRV_context,representative_context_in_main_full_result_in_SI,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RMSSD,Time Domain,Square root of the mean squared successive RRI difference,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,representative_context_in_main,native consecutive RRI differences,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,40.62,20.11,41.52,23.35,41.46,21.02,0.2,0.442,0.92,2.97,0.1,0.702,1,3.78,-0.01,0.64,0.877,0.44,0.801,representative_standard_HRV_context,representative_context_in_main_full_result_in_SI,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
pNN50,Time Domain,Percentage of absolute successive RRI differences greater than 50 ms,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,strict threshold >50 ms,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,20.14,17.98,20.63,19.15,20.35,18.01,0.14,0.702,0.927,3.53,0.02,0.831,1,4.09,-0.04,0.766,0.884,0.54,0.765,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
pNN20,Time Domain,Percentage of absolute successive RRI differences greater than 20 ms,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,strict threshold >20 ms,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,55.46,19.23,55.42,21.04,55.37,18.6,-0.01,1,1,4.11,-0.01,0.865,1,4.11,-0.01,1,1,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Mean_HR,Time Domain,Arithmetic mean of beat-level heart rate 60000/RRI,beats/min,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,representative_context_in_main,RRI in ms,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,72.11,11.76,71.89,11.86,72.99,11.04,-0.14,0.551,0.92,3.53,0.43,0.108,1,1.07,0.51,0.0056,0.19,10.11,0.0064,representative_standard_HRV_context,representative_context_in_main_full_result_in_SI,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SDHR,Time Domain,Sample standard deviation of beat-level heart rate 60000/RRI,beats/min,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,ddof=1; RRI in ms,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,4.73,1.33,4.7,1.55,5.2,1.7,-0.05,0.966,0.993,4.04,0.56,0.0268,1,0.45,0.54,0.0208,0.289,8.33,0.0155,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
CV_RRI,Time Domain,One hundred times SDNN divided by mean RRI,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,sample SDNN,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,6.45,1.44,6.42,2,6.99,2.03,-0.03,0.58,0.92,4.09,0.42,0.108,1,1.11,0.44,0.0432,0.355,8.33,0.0155,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Median_RRI,Time Domain,Median native beat-to-beat RRI,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,numpy median,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,857.11,131.78,861.08,134.99,843.58,121.04,0.19,0.523,0.92,3.1,-0.44,0.0814,1,0.97,-0.54,0.0182,0.289,2.33,0.311,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
IQR_RRI,Time Domain,Difference between the 75th and 25th RRI percentiles,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s01_time_domain.py::compute_time_domain,exploratory_panel_only,numpy percentiles,hrv_panel/src/s01_time_domain.py:compute_time_domain,CODE_VERIFIED,18,72.94,21.89,69.88,28.84,80.79,30.95,-0.22,0.108,0.92,2.81,0.39,0.167,1,1.32,0.68,0.0077,0.19,10.11,0.0064,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
