source_metric,metric,category,definition,unit,input_signals,preprocessing,key_parameters,implementation_type,source_function_or_package,role_in_revision,minimum_evaluable_n,n_Pre,n_Stim,n_Post,n_Stim_Pre,n_Post_Pre,n_Post_Stim,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,Stim_Pre_mean_difference,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF10_Stim_Pre,BF_n_Stim_Pre,BF_model_Stim_Pre,BF_cauchy_scale_Stim_Pre,BF_raw_source_Stim_Pre,BF01_Stim_Pre,Post_Pre_mean_difference,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,Post_Stim_mean_difference,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,estimability_status,Reliability_flag,retention_location,analysis_source,NA_reason,definition_source,unit_source
rhomax_MATLAB,Maximum_lagged_correlation,Band-pass lagged correlation,Maximum lagged Pearson correlation from the exploratory band-pass overlapping-window analysis; filter- and window-dependent and excluded from physiological inference,dimensionless correlation coefficient,heart rate; mean arterial pressure,cubic-spline interpolation at 64/30 Hz; band-pass filtering; overlapping-window lagged correlation,sampling interval 30/64 s; maximum lagged Pearson correlation; filter- and window-dependent,project-specific MATLAB implementation,custom MATLAB band-pass lagged-correlation implementation,excluded_from_physiological_inference,18,18,18,18,18,18,18,0.77,NA,0.85,NA,0.87,NA,0.08,1.01,0.0003,0.0046,70.2042,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.0142442,0.1,1.14,0.0001,0.0046,0.01,0.02,NA,NA,NA,NA,NA,estimable_all_18,filter_and_window_dependent_excluded_from_inference,SI_only_complete_exploratory_reporting,exploratory_bandpass_lagged_correlation,not available in authoritative submitted summary or revised central reanalysis: Pre_SD;Stim_SD;Post_SD;dz_Post_Stim;p_Post_Stim;p_FDR_Post_Stim;Friedman_chi2;Friedman_p,custom MATLAB band-pass lagged-correlation implementation,custom MATLAB band-pass lagged-correlation implementation
Coh_mean,Coh_mean,Coherence,Mean conventional squared SBP-RRI coherence over 0.08-0.12 Hz,dimensionless mean squared coherence,RRI; SBP,phase-specific 4-Hz natural-cubic-spline interpolation; detrending; Hann-window Welch auto- and cross-spectra,0.08–0.12 Hz mean squared coherence; 512-sample segments; 256-sample overlap,SciPy welch/csd functions in a project-specific wrapper,analysis_55_cgn.py::compute_cgn_metrics,central_outcome,18,18,18,18,18,18,18,0.748138,0.146149,0.764484,0.180202,0.762661,0.146868,0.016346,0.0802791,0.671,0.857,0.255996,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.90632,0.0145225,0.0987334,0.899,0.963,3.8,-0.00182353,-0.00809501,0.832,NA,NA,NA,estimable_all_18,reproduced_traditional_coherence,main,focused_coherence_reanalysis,not available in authoritative submitted summary or revised central reanalysis: p_FDR_Post_Stim;Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
BRS_TF_mean,BRS_TF_mean,BRS (Spectral),Coherence-gated Mayer-band transfer-function BRS gain,ms/mmHg,RRI; SBP,phase-specific 4-Hz interpolated RRI/SBP series; coherence-gated transfer gain,Mayer-band transfer-function BRS; limited phase-specific evaluability,project-specific implementation using standard scientific-computing functions,project-specific transfer-function BRS implementation,limited_estimability_sensitivity,12,12,12,12,12,12,12,9.08,NA,7.69,NA,7.48,NA,-1.39,-0.63,0.0269,0.155,1.58278,12,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.631799,-1.6,-0.7,0.0537,0.344,0.45,-0.21,NA,NA,NA,NA,NA,limited_estimability,limited_estimability_alternative_BRS,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Pre_SD;Stim_SD;Post_SD;dz_Post_Stim;p_Post_Stim;p_FDR_Post_Stim;Friedman_chi2;Friedman_p,project-specific transfer-function BRS implementation,project-specific transfer-function BRS implementation
BRS_seq_all,BRS_seq_all,BRS (Sequence),Mean sequence-method BRS slope across qualifying up and down ramps,ms/mmHg,RRI; SBP,native non-interpolated paired-beat SBP/RRI series,maximal non-overlapping SBP ramps; length ≥3; SBP change ≥1.0 mmHg/beat; lag 1; Pearson r ≥0.80; mean slope aggregation,project-specific implementation using standard scientific-computing functions,run_revision_analyses.py::compute_brs_for_phase,central_outcome,18,18,18,18,18,18,18,8.53677,5.56821,6.48606,3.8924,7.46736,3.41218,-2.05071,-0.740209,2.29e-05,0.000526,8.13747,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.122888,-1.06941,-0.295519,0.246,0.701,2.05,0.981303,0.417001,0.108,0.706,NA,NA,estimable_all_18,reference_reproduced_filter_independent,main,reference_brs_reanalysis_and_robustness,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,run_revision_analyses.py::compute_brs_for_phase,run_revision_analyses.py::compute_brs_for_phase
BRS_seq_down,BRS_seq_down,BRS (Sequence),Mean sequence-method BRS slope across qualifying down ramps,ms/mmHg,RRI; SBP,native non-interpolated paired-beat SBP/RRI series,maximal non-overlapping SBP ramps; length ≥3; SBP change ≥1.0 mmHg/beat; lag 1; Pearson r ≥0.80; mean slope aggregation,project-specific implementation using standard scientific-computing functions,run_revision_analyses.py::compute_brs_for_phase,nested_directional_sensitivity,15,18,15,18,15,18,15,8.98111,5.3307,6.92064,4.40739,10.5813,8.2733,-2.29084,-0.521079,0.0256,0.155,1.28488,15,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.778283,1.60016,0.232666,0.64,0.949,2.71,3.30844,0.555153,0.121,0.706,NA,NA,limited_estimability,nested_directional_sequence_BRS,SI_only,reference_brs_reanalysis_and_robustness,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,run_revision_analyses.py::compute_brs_for_phase,run_revision_analyses.py::compute_brs_for_phase
BRS_seq_up,BRS_seq_up,BRS (Sequence),Mean sequence-method BRS slope across qualifying up ramps,ms/mmHg,RRI; SBP,native non-interpolated paired-beat SBP/RRI series,maximal non-overlapping SBP ramps; length ≥3; SBP change ≥1.0 mmHg/beat; lag 1; Pearson r ≥0.80; mean slope aggregation,project-specific implementation using standard scientific-computing functions,run_revision_analyses.py::compute_brs_for_phase,nested_directional_sensitivity,18,18,18,18,18,18,18,8.47962,6.33891,6.27213,3.7538,6.67141,2.78157,-2.20749,-0.684017,1.53e-05,0.0005,5.3215,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.187917,-1.80821,-0.385433,0.0898,0.384,1.31,0.399279,0.188351,0.325,0.833,NA,NA,estimable_all_18,nested_directional_sequence_BRS,SI_only,reference_brs_reanalysis_and_robustness,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,run_revision_analyses.py::compute_brs_for_phase,run_revision_analyses.py::compute_brs_for_phase
BEI_all,BEI_all,BEI,Baroreflex effectiveness index for all SBP ramps,dimensionless proportion,RRI; SBP,same native paired-beat SBP/RRI sequence detection as reference BRS,proportion of SBP ramps meeting reference BRS sequence criteria,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bei,sequence_quality_context,18,18,18,18,18,18,18,0.27,0.21,0.25,0.19,0.26,0.2,-0.02,-0.21,0.468,0.759,0.347438,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.87821,-0.01,-0.09,0.61,0.949,3.85,0.01,0.15,0.523,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bei,analysis_51_bei_bprsa.py::compute_bei
BEI_down,BEI_down,BEI,Baroreflex effectiveness index for down SBP ramps,dimensionless proportion,RRI; SBP,same native paired-beat SBP/RRI sequence detection as reference BRS,proportion of SBP ramps meeting reference BRS sequence criteria,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bei,exploratory_panel_only,18,18,18,18,18,18,18,0.2,0.22,0.19,0.18,0.2,0.21,-0.01,-0.12,0.523,0.775,0.270721,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.69384,0,-0.05,0.702,0.963,4.03,0.01,0.09,1,1,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bei,analysis_51_bei_bprsa.py::compute_bei
BEI_up,BEI_up,BEI,Baroreflex effectiveness index for up SBP ramps,dimensionless proportion,RRI; SBP,same native paired-beat SBP/RRI sequence detection as reference BRS,proportion of SBP ramps meeting reference BRS sequence criteria,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bei,exploratory_panel_only,18,18,18,18,18,18,18,0.34,0.22,0.32,0.22,0.34,0.21,-0.02,-0.19,0.393,0.759,0.321842,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.10711,0,-0.04,0.799,0.963,4.06,0.02,0.15,0.492,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bei,analysis_51_bei_bprsa.py::compute_bei
AC,AC,BPRSA,RRI acceleration capacity from beat-to-beat phase-rectified signal averaging,ms,RRI,native beat-to-beat RRI; phase-rectified signal averaging,project-specific BPRSA settings documented in archived code,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bprsa,exploratory_panel_only,18,18,18,18,18,18,18,-11.41,6.11,-12.37,6.72,-11.1,5.24,-0.96,-0.35,0.417,0.759,0.61835,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.61721,0.31,0.13,0.702,0.963,3.59,1.27,0.36,0.325,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bprsa,analysis_51_bei_bprsa.py::compute_bprsa
